supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
CCL / High-Speed Materials,2026-09-16,4,81.82,75.0,3,4,-15267.9,-3816.97,3,66.7,2.51,-0.15,-2.66,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
Display & Optical,2026-09-16,3,58.01,100.0,3,3,8126.1,2708.7,2,100.0,1.38,0.77,-0.61,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Biotech / Innovative Drug / CDMO,2026-09-16,1,56.87,0.0,0,1,-4376.8,-4376.8,1,,1.32,0.28,-1.04,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Passive Components,2026-09-16,2,51.95,50.0,1,2,-23382.3,-11691.15,2,100.0,1.09,-0.47,-1.56,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI / HPC Semiconductor,2026-09-16,9,42.31,88.9,8,9,53821.3,5980.14,8,100.0,0.63,2.57,1.94,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
AI Server / ODM,2026-09-16,12,34.48,50.0,6,12,-65511.2,-5459.27,6,100.0,0.26,-2.13,-2.39,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Thermal / Liquid Cooling,2026-09-16,4,32.91,50.0,2,4,-12776.5,-3194.13,2,100.0,0.18,-0.05,-0.24,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
PCB / HDI / IC Substrate,2026-09-16,10,31.67,40.0,4,10,-20242.1,-2024.21,7,85.7,0.12,-0.35,-0.47,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
Advanced Packaging,2026-09-16,8,30.62,50.0,4,8,-3978.5,-497.31,3,33.3,0.07,0.29,0.22,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Semiconductor Equipment & Materials,2026-09-16,8,27.23,37.5,3,8,-3862.9,-482.86,6,83.3,-0.09,0.3,0.38,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Memory / HBM,2026-09-16,5,24.93,40.0,2,5,-15453.9,-3090.78,5,80.0,-0.2,-0.16,0.04,❄️ Weak,💰 Capital Leading,💰 Capital Leading → ❄️ Weak,REVERSING,❄️ Weak
Robotics / Automation,2026-09-16,4,22.05,25.0,1,4,443.0,110.75,3,100.0,-0.33,0.47,0.8,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Data Center Power / PSU,2026-09-16,4,21.14,25.0,1,4,-37854.7,-9463.68,4,100.0,-0.38,-1.04,-0.67,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Cloud / Data Center / Cybersecurity,2026-09-16,8,20.35,87.5,7,8,-11551.1,-1443.89,4,100.0,-0.41,-0.01,0.41,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Shipping / Logistics,2026-09-16,4,19.55,25.0,1,4,20723.4,5180.85,2,100.0,-0.45,1.27,1.72,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
EV / Auto Electronics,2026-09-16,4,10.47,25.0,1,4,-48308.1,-12077.03,3,100.0,-0.88,-1.45,-0.57,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Energy Storage / Battery,2026-09-16,1,6.39,0.0,0,1,-36854.3,-36854.3,1,,-1.08,-1.0,0.07,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Optical Communication / AI Networking,2026-09-16,1,5.74,0.0,0,1,-15139.7,-15139.7,1,,-1.11,-0.15,0.96,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Smart Grid / Transformer,2026-09-16,4,4.13,0.0,0,4,4199.1,1049.77,3,66.7,-1.18,0.62,1.8,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Steel,2026-09-16,1,-1.63,0.0,0,1,-1156.2,-1156.2,1,,-1.46,0.4,1.86,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
