symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,mom_12m_1m,weekly_vol_ann,spmo_score,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
LYV,Communication Services,Live Nation Entertainment,2026-08-03,181.69,-1.21,15.04,23.77,15.34,0.667,2053075,2551176,2764373,-27.74,-14.32,3.03,P-V-,P+V-,P+V+,➡️ 中性,25.42,29.74,0.855,13,1,2,7.2,82.89,-485.68,False,True,174.82,9.03,0.784,False,188.0,188.0,-3.36,1.28,-0.87,12.0,8.0,1848808.0,2359475.0,1.5,3212500.0,2423790.0,2107793.0,1.524,86.2,54.31,多頭,頭頭高·底底高,空轉多預警,2,11,3,5.8,4,吃老本,,False
TTWO,Communication Services,Take-Two Interactive,2026-08-03,245.15,-4.9,14.68,-0.15,2.37,0.333,1773185,2474469,2374913,-41.67,8.75,50.86,P-V-,P+V+,P-V+,➡️ 中性,17.15,31.95,0.537,19,2,9,11.9,38.21,-87.12,False,True,234.3,9.33,0.921,False,265.94,265.94,-7.82,0.49,-5.13,8.0,12.0,1686012.0,1831300.0,0.667,1630000.0,1762060.0,1732253.0,0.941,73.23,55.14,多頭,頭頭高·底底高,空轉多預警,9,19,12,13.6,15,吃老本,,False
NWSA,Communication Services,News Corp (Class A),2026-08-03,27.94,3.79,6.16,5.28,5.13,1.0,3223475,5002553,4727816,-55.2,12.34,27.34,P+V-,P+V+,P+V+,⚠️ 頂部背離,-7.73,22.19,-0.348,8,3,5,5.9,5.46,6.92,False,True,26.69,10.04,1.013,False,31.48,31.61,-11.24,2.38,4.88,10.0,10.0,3244530.0,3202420.0,1.0,3358800.0,3456610.0,3254526.0,1.032,86.61,55.06,多頭,頭頭高·底底高,空轉多預警,5,10,9,7.8,8,,,False
BBY,Consumer Discretionary,Best Buy,2026-08-03,85.25,8.3,42.81,33.4,29.48,1.0,3416275,4074484,4302995,-12.69,-10.09,13.16,P+V-,P+V-,P+V+,⚠️ 頂部背離,28.43,41.54,0.684,11,1,3,6.4,4.32,5.83,False,True,77.9,9.72,0.961,False,91.27,91.27,-6.6,-3.62,9.29,12.0,8.0,3361666.0,3498187.0,1.5,3956000.0,3052470.0,3261620.0,1.213,93.45,56.32,多頭,頭頭高·底底高,,2,12,8,7.2,4,吃老本,,False
WSM,Consumer Discretionary,"Williams-Sonoma, Inc.",2026-08-03,239.8,8.14,32.77,15.99,18.23,1.0,873985,1152187,1159831,-34.54,-1.31,-4.66,P+V-,P+V-,P+V-,⚠️ 量能衰竭,20.54,31.67,0.649,12,2,7,8.0,7.34,4.46,False,True,219.89,11.4,1.114,False,243.84,244.65,-1.66,2.31,7.49,11.0,9.0,916090.0,822522.0,1.222,845400.0,769360.0,846673.0,0.998,93.24,63.13,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,5,13,14,10.0,6,吃老本,,False
RCL,Consumer Discretionary,Royal Caribbean Group,2026-08-03,324.0,14.79,23.48,12.68,15.9,1.0,2492715,2777673,2693146,-6.03,6.48,24.93,P+V-,P+V+,P+V+,⚠️ 頂部背離,-6.86,41.84,-0.164,8,3,10,6.9,5.74,12.59,False,True,294.86,16.82,1.062,False,360.34,366.5,-10.08,6.22,12.59,10.0,10.0,2567920.0,2417510.0,1.0,1987000.0,2767480.0,2579073.0,0.77,93.63,65.08,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,6,11,22,11.2,9,,,False
DLTR,Consumer Staples,Dollar Tree,2026-08-03,129.35,5.46,33.2,6.16,12.75,1.0,2558540,3626470,3412192,-31.23,13.4,-13.23,P+V-,P+V+,P+V-,⚠️ 量能背離,5.88,41.81,0.141,6,1,15,6.3,12.89,1.13,False,True,117.28,11.88,1.34,False,142.4,142.4,-9.16,3.03,6.5,12.0,8.0,2847600.0,2124950.0,1.5,2181100.0,2294390.0,2564400.0,0.851,100.0,60.87,多頭,頭頭高·底底高,,6,1,21,7.0,4,,,False
MNST,Consumer Staples,Monster Beverage,2026-08-03,46.78,-3.48,21.38,14.91,11.93,0.667,11442730,11678286,11636293,-5.58,0.72,4.52,P-V-,P+V+,P+V+,➡️ 中性,64.98,25.61,2.537,27,2,6,15.3,10.16,-4.5,False,False,46.8,6.96,0.98,False,50.17,50.17,-6.77,-1.87,-3.92,8.0,12.0,11307700.0,11532750.0,0.667,14161200.0,10354160.0,11666306.0,1.214,74.06,44.77,擴散,頭頭高·底底低,,7,23,9,13.8,11,吃老本,,False
SJM,Consumer Staples,J.M. Smucker Company (The),2026-08-03,116.41,3.76,21.19,14.01,13.24,1.0,1535310,1712332,1936036,-16.6,-20.72,8.2,P+V-,P+V-,P+V+,⚠️ 頂部背離,7.46,29.22,0.255,8,3,7,6.3,5.01,5.18,False,True,110.68,12.28,1.11,False,126.46,127.65,-7.95,-2.93,5.23,11.0,9.0,1606900.0,1447811.0,1.222,1327000.0,1643490.0,1557933.0,0.852,89.72,53.11,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,5,6,20,8.4,6,,,False
MPC,Energy,Marathon Petroleum,2026-08-03,306.19,15.28,24.13,80.31,50.01,1.0,2049705,2323701,2451014,-18.05,-9.88,23.63,P+V-,P+V-,P+V+,⚠️ 頂部背離,65.68,35.61,1.845,3,1,1,2.0,120.63,50.13,False,True,274.27,7.05,0.935,False,326.03,326.92,-6.08,-1.7,14.14,13.0,7.0,2000876.0,2140385.0,1.857,2105300.0,2057470.0,2051020.0,1.026,100.0,59.17,擴散,頭頭高·底底低,,1,1,9,2.6,1,,,False
VLO,Energy,Valero Energy,2026-08-03,307.54,15.97,22.81,70.63,45.01,1.0,2776330,3024563,3342157,-16.05,-17.36,16.92,P+V-,P+V-,P+V+,⚠️ 頂部背離,106.48,32.17,3.31,1,2,2,1.5,23.84,33.47,False,True,270.44,8.47,1.044,False,319.01,320.24,-3.59,1.25,14.21,11.0,9.0,2829681.0,2711122.0,1.222,3302200.0,2560230.0,2806326.0,1.177,95.62,62.05,擴散,頭頭高·底底低,,2,11,5,6.2,7,吃老本,,False
PSX,Energy,Phillips 66,2026-08-03,205.1,15.29,15.93,49.56,32.58,1.0,2530490,2551764,2844848,-10.25,-18.68,18.14,P+V-,P+V-,P+V+,⚠️ 頂部背離,53.35,32.66,1.634,2,3,3,2.5,225.68,14.7,False,True,185.3,7.32,1.039,False,214.94,216.08,-4.58,-0.78,16.27,13.0,7.0,2563992.0,2468271.0,1.857,1992200.0,2348560.0,2394686.0,0.832,100.0,60.63,多頭,頭頭高·底底高,空轉多預警,3,1,17,5.0,5,,,False
WTW,Financials,Willis Towers Watson,2026-08-03,341.63,16.24,33.83,9.45,17.24,1.0,586425,751610,779850,-18.26,-6.99,30.66,P+V-,P+V-,P+V+,⚠️ 頂部背離,-7.47,30.6,-0.244,2,1,39,9.1,7.78,1.8,False,True,276.45,19.49,0.953,False,349.38,352.79,-2.22,12.88,18.76,10.0,10.0,572280.0,600570.0,1.0,782600.0,655380.0,618206.0,1.266,98.09,81.62,多頭,頭頭高·底底高,多頭確認,11,14,5,11.0,6,,,False
PRU,Financials,Prudential Financial,2026-08-03,121.58,6.5,27.06,17.62,17.2,1.0,1791435,1916464,2202338,-8.14,-22.98,33.82,P+V-,P+V-,P+V+,⚠️ 頂部背離,19.64,21.0,0.935,21,2,18,14.7,16.48,-24.33,False,True,109.67,6.39,1.088,False,123.15,124.57,-1.28,0.89,7.61,14.0,6.0,1836142.0,1687116.0,2.333,2061100.0,1909370.0,1837860.0,1.121,100.0,69.33,多頭,頭頭高·底底高,多頭確認,12,1,7,6.6,2,剛爆發,,False
CPAY,Financials,Corpay,2026-08-03,385.78,8.03,25.88,21.33,19.14,1.0,501070,616624,644260,-36.24,-8.23,19.48,P+V-,P+V-,P+V+,⚠️ 頂部背離,12.69,40.63,0.312,17,3,11,11.6,6.03,1.68,False,True,356.94,12.18,1.139,False,395.49,395.49,-2.46,1.6,8.2,13.0,7.0,523423.0,459557.0,1.857,397600.0,549720.0,523326.0,0.76,100.0,62.24,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,8,1,25,8.6,4,剛爆發,,False
BAX,Health Care,Baxter International,2026-08-03,28.09,22.92,59.92,43.73,42.58,1.0,6967940,7181327,8262102,-0.32,-23.14,1.94,P+V-,P+V-,P+V+,⚠️ 頂部背離,3.7,43.5,0.085,1,1,7,2.2,52.53,15.93,False,True,21.42,35.61,1.184,False,29.99,30.0,-6.33,20.39,24.45,12.0,8.0,7430425.0,6274212.0,1.5,10447100.0,8235460.0,7392860.0,1.413,100.0,76.43,多頭,頭頭高·底底高,多頭確認,3,1,6,2.8,1,,,False
HUM,Health Care,Humana,2026-08-03,374.5,-5.1,58.76,81.45,54.14,0.667,1519255,1563043,1909850,-1.4,-30.74,15.21,P-V-,P+V-,P+V+,➡️ 中性,61.18,57.88,1.057,52,2,2,27.0,8.79,1.05,False,True,368.67,13.47,0.877,False,428.88,428.88,-12.68,-1.74,-4.67,11.0,9.0,1428827.0,1629777.0,1.222,1394300.0,1628010.0,1613426.0,0.864,80.17,47.2,多頭,頭頭高·底底高,空頭確認,2,30,20,16.8,14,吃老本,,False
DVA,Health Care,DaVita,2026-08-03,233.68,-0.27,50.63,121.27,73.22,0.667,677795,866360,930768,-19.9,-12.94,8.38,P-V-,P+V-,P+V+,➡️ 中性,70.21,45.4,1.546,37,3,1,19.6,23.18,6.51,False,True,217.6,7.38,0.76,False,247.49,247.49,-5.58,-1.11,-0.86,11.0,9.0,593381.0,780966.0,1.222,1346600.0,663520.0,628446.0,2.143,80.67,55.35,多頭,頭頭高·底底高,空轉多預警,1,29,2,12.4,6,吃老本,🔥 追高風險,True
AXON,Industrials,Axon Enterprise,2026-08-03,575.88,-10.08,43.34,-5.63,5.5,0.333,817135,1113020,1120835,-31.03,-1.38,53.33,P-V-,P+V-,P-V+,➡️ 中性,-16.18,75.03,-0.216,74,1,62,49.7,0.8,34.51,False,True,495.99,17.53,1.014,False,885.92,885.92,-35.0,9.59,-7.47,10.0,10.0,822820.0,811450.0,1.0,1105700.0,737190.0,712526.0,1.552,82.1,61.64,多頭,頭頭高·底底高,,48,25,3,29.8,31,剛爆發,,False
