Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2026-09-08,00400A,主動國泰動能高息,27893443,421794590,15.25,15.28,14.95,15.00,-0.2100,9000
2026-09-08,00401A,主動摩根台灣鑫收,5784695,83033189,14.38,14.41,14.28,14.29,-0.0300,1464
2026-09-08,00402A,主動安聯美國科技,3950583,37633741,9.52,9.56,9.50,9.52,0.0000,683
2026-09-08,00403A,主動統一升級50,112048474,1156829307,10.42,10.43,10.21,10.24,-0.1500,20109
2026-09-08,00404A,主動聯博動能50,34321150,344110058,10.15,10.15,9.98,9.99,-0.0400,6184
2026-09-08,00405A,主動富邦台灣龍耀,45687519,401558867,8.85,8.88,8.67,8.71,-0.1200,5744
2026-09-08,00406A,主動中信台灣收益,123874950,1195423654,9.73,9.75,9.58,9.61,-0.0800,23561
2026-09-08,00407A,主動凱基台灣,23616132,229912707,9.85,9.87,9.62,9.68,-0.1400,5526
2026-09-08,00408A,主動第一金優股息,1697661,17709048,10.51,10.51,10.36,10.40,-0.0900,300
2026-09-08,00409A,主動復華全球50,21887061,217271969,9.95,9.97,9.89,9.90,-0.0100,3007
2026-09-08,00410A,主動永豐科技趨勢,7836020,94234745,12.18,12.20,11.86,11.91,-0.2100,1672
2026-09-08,0050,元大台灣50,75243156,8285982385,110.00,110.75,109.55,109.65,-0.2500,87371
2026-09-08,0051,元大中型100,28386,4160992,147.80,147.80,145.95,146.05,-1.4000,427
2026-09-08,0052,富邦科技,22549037,1443965723,63.80,64.45,63.50,63.60,-0.1500,12987
2026-09-08,0053,元大電子,32805,8136210,249.15,249.15,246.00,246.00,-2.3000,1382
2026-09-08,0055,元大MSCI金融,481438,23582951,48.63,49.30,48.53,49.24,0.6100,2112
2026-09-08,0056,元大高股息,17306149,964392261,55.95,55.95,55.50,55.75,-0.1000,20301
2026-09-08,0057,富邦摩台,35830,11805524,328.10,330.85,327.60,327.85,0.9500,860
2026-09-08,0061,元大寶滬深,82466,1987067,24.26,24.26,24.05,24.08,-0.1900,166
2026-09-08,006203,元大MSCI台灣,9886,1981992,200.30,201.35,200.00,200.45,1.3500,986
2026-09-08,006204,永豐臺灣加權,5415,1278603,236.75,236.80,236.25,236.25,-0.1000,127
